role,skills
Data Scientist,"Python, SQL, Statistics, Machine Learning, Pandas, NumPy"
Machine Learning Engineer,"Python, Machine Learning, TensorFlow, PyTorch, MLOps, Docker"
Data Analyst,"Python, SQL, Excel, Statistics, Power BI, Tableau"
Backend Developer,"Python, Java, SQL, APIs, REST, Databases, Git"
Frontend Developer,"HTML, CSS, JavaScript, React, Git, UI"
DevOps Engineer,"AWS, Docker, Kubernetes, Linux, CI/CD, Automation"
Cloud Architect,"AWS, Azure, Cloud Computing, Networking, Security, Terraform"
Data Engineer,"Python, SQL, ETL, Spark, Data Pipelines, Cloud Computing"
Cybersecurity Engineer,"Linux, Networking, Security, Python, Cryptography, SIEM"
Mobile App Developer,"Java, Kotlin, Android, APIs, Git, UI"
